204,104,104,104,104,56,56,0.00
200,92,92,92,92,48,48,0.00
148,48,48,48,100,48,48,0.00
160,60,60,60,60,4,4,0.00
156,48,48,48,108,48,48,0.00
196,96,96,96,96,48,48,0.00
200,96,96,96,96,48,48,0.00
156,56,56,56,108,56,56,0.00
152,48,48,48,100,48,48,0.00
152,48,48,48,100,48,48,0.00
196,96,96,96,96,48,48,0.00
200,48,48,48,104,48,48,0.00
200,92,92,92,92,48,48,0.00
148,48,48,48,100,48,48,0.00
148,48,48,48,100,48,48,0.00
160,56,56,56,56,56,4,0.00
204,96,96,96,96,48,48,0.00
196,96,96,96,96,48,48,0.00
196,96,96,96,96,48,48,0.00
148,48,48,48,100,48,48,0.00
160,48,48,48,48,48,48,0.00
148,48,48,48,100,48,48,0.00
204,104,104,104,104,48,48,0.00
200,92,92,92,92,48,48,0.00
148,48,48,48,100,48,48,0.00
156,48,48,48,100,48,48,0.00
156,52,52,52,52,4,4,0.00
196,96,96,96,96,48,48,0.00
196,92,92,92,92,48,48,0.00
204,96,96,96,96,48,48,0.00
152,48,48,48,100,48,48,0.00
152,48,48,48,100,48,48,0.00
152,48,48,48,100,48,48,0.00
164,56,56,112,112,56,56,0.00
196,96,96,96,96,48,48,0.00
196,96,96,96,96,48,48,0.00
152,48,48,48,100,48,48,0.00
156,48,48,48,48,48,48,0.00
152,48,48,48,100,48,48,0.00
196,96,96,96,96,48,48,0.00
200,96,96,96,96,48,48,0.00
152,48,48,48,100,48,48,0.00
148,48,48,48,100,48,48,0.00
148,48,48,48,100,48,48,0.00
156,56,56,56,108,56,56,0.00
196,92,92,92,92,44,44,0.00
204,104,104,104,104,48,48,0.00
152,48,48,48,100,48,48,0.00
152,48,48,48,104,48,48,0.00
152,48,48,48,100,48,48,0.00
196,96,96,96,96,48,48,0.00
204,100,100,100,100,48,48,0.00
204,48,48,100,100,48,48,0.00
156,48,48,48,108,48,48,0.00
152,48,48,48,100,48,48,0.00
196,96,96,96,96,48,48,0.00
204,100,100,100,100,52,52,0.00
