188,72,72,1.69,0.00
220,72,108,5.58,0.03
188,72,72,14.21,0.16
152,72,72,20.30,0.26
152,40,76,28.25,0.41
148,72,72,32.98,0.54
152,72,72,37.72,0.61
116,36,36,45.16,0.71
116,36,36,50.40,0.81
92,52,52,58.01,0.98
76,36,36,62.41,1.06
116,36,36,67.14,1.15
116,40,40,74.08,1.28
80,40,40,78.48,1.35
116,76,76,85.75,1.48
168,112,72,91.50,1.60
160,160,108,98.60,1.72
256,256,216,102.83,1.81
332,332,252,105.03,1.88
328,368,292,106.38,1.92
328,408,328,109.42,1.99
364,404,324,111.11,2.01
468,468,396,110.95,2.01
512,436,364,111.11,2.03
536,332,180,111.43,2.14
600,260,144,111.74,2.29
632,144,104,112.01,2.49
556,108,108,112.12,2.62
408,72,108,112.22,2.75
296,104,140,112.21,2.76
252,108,180,113.01,4.80
252,72,144,114.62,8.53
260,72,108,118.41,15.90
348,72,120,121.81,21.35
444,72,108,128.13,29.72
448,72,108,132.87,35.01
516,72,124,138.06,40.11
628,104,140,146.45,47.21
612,108,108,152.67,51.88
668,140,140,162.30,58.16
732,172,172,168.77,61.85
680,152,152,175.66,65.47
668,176,176,185.86,70.41
696,208,208,192.66,73.43
644,208,208,203.32,77.74
640,224,224,210.31,80.30
708,284,284,217.19,82.66
696,320,284,227.52,85.91
696,320,284,234.02,87.76
780,388,352,244.86,90.44
692,356,320,251.30,91.87
676,300,300,257.94,93.17
688,352,352,268.44,95.00
632,316,316,275.46,96.06
580,316,316,285.54,97.25
596,332,332,292.12,97.82
596,332,332,299.03,98.30
564,300,300,308.84,98.65
600,336,336,315.27,98.63
616,352,352,321.69,98.47
544,316,316,331.32,97.95
580,316,316,338.06,97.33
612,348,348,347.95,96.00
524,300,300,354.27,94.84
504,316,316,360.54,93.45
476,352,352,369.87,91.02
408,316,316,376.04,89.20
352,316,352,384.56,86.42
368,332,368,390.12,84.38
352,316,352,395.62,82.18
320,284,320,404.00,78.56
352,316,352,409.67,75.91
296,296,332,417.02,72.07
256,256,316,422.15,69.13
316,352,388,427.07,66.15
248,320,356,433.92,61.79
208,260,340,438.70,58.59
280,316,356,445.14,53.94
208,284,320,449.43,50.63
172,244,324,453.91,47.03
208,288,360,459.98,41.89
172,284,324,463.91,38.42
140,248,324,469.78,33.05
176,288,360,473.55,29.41
176,288,360,476.87,26.03
140,244,340,481.61,20.97
156,268,376,485.14,17.09
176,288,396,490.10,11.32
140,264,344,493.42,7.26
144,288,396,496.59,3.30
176,320,396,498.04,1.43
244,424,516,500.92,1.46
280,456,568,502.60,1.62
404,652,724,504.06,2.04
452,700,772,504.06,2.04
468,752,788,504.20,2.13
588,772,772,504.20,2.14
744,820,780,504.19,2.14
940,824,752,504.34,2.44
940,824,752,504.34,2.44
1.21
