192,92,92,92,144,44,44,0.00
196,92,92,92,144,48,48,0.00
204,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
200,96,96,96,148,48,48,0.00
200,92,92,92,152,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
208,100,100,100,160,56,56,0.00
200,92,92,92,144,48,48,0.00
196,92,92,92,144,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
204,104,104,104,156,48,48,0.00
200,100,100,100,152,52,52,0.00
204,96,96,96,152,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
204,100,100,100,152,56,56,0.00
248,92,92,148,148,48,48,0.00
196,96,96,96,148,48,48,0.00
200,100,100,100,152,48,48,0.00
200,92,92,92,92,44,44,0.00
196,96,96,96,148,48,48,0.00
252,96,96,96,152,48,48,0.00
248,96,96,96,148,48,48,0.00
196,92,92,92,144,48,48,0.00
204,104,104,104,104,56,56,0.00
204,100,100,100,152,48,48,0.00
200,92,92,92,144,48,48,0.00
252,96,96,144,144,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,148,48,48,0.00
208,108,108,108,160,56,56,0.00
208,96,96,96,152,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
200,96,96,96,152,48,48,0.00
204,104,104,104,152,48,48,0.00
200,96,96,96,152,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
200,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
248,100,100,100,148,44,44,0.00
204,96,96,96,152,48,48,0.00
196,96,96,96,148,48,48,0.00
200,96,96,96,144,48,48,0.00
196,96,96,96,148,48,48,0.00
244,96,96,96,148,48,48,0.00
200,100,100,100,152,52,52,0.00
200,100,100,100,152,48,48,0.00
208,100,100,100,100,48,48,0.00
204,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
244,92,92,144,144,44,44,0.00
196,96,96,96,148,48,48,0.00
200,100,100,100,152,52,52,0.00
204,96,96,96,152,48,48,0.00
204,96,96,96,148,48,48,0.00
244,96,96,144,144,48,48,0.00
244,96,96,96,144,48,48,0.00
196,96,96,96,148,48,48,0.00
200,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
200,92,92,92,144,48,48,0.00
244,92,92,144,144,48,48,0.00
200,100,100,100,152,52,52,0.00
204,96,96,96,152,48,48,0.00
196,96,96,96,148,48,48,0.00
196,92,92,92,144,48,48,0.00
252,96,96,96,152,48,48,0.00
204,104,104,104,152,56,56,0.00
200,96,96,96,152,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,148,48,48,0.00
244,96,96,96,148,48,48,0.00
204,104,104,104,156,56,56,0.00
208,96,96,96,160,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
252,100,100,100,152,48,48,0.00
200,96,96,96,152,48,48,0.00
200,100,100,100,148,48,48,0.00
200,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
248,96,96,96,148,48,48,0.00
204,96,96,96,152,48,48,0.00
196,96,96,96,148,48,48,0.00
200,100,100,100,100,48,48,0.00
200,92,92,92,148,44,44,0.00
244,92,92,92,144,48,48,0.00
252,96,96,152,152,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
196,96,96,96,148,48,48,0.00
204,96,96,96,152,48,48,0.00
248,96,96,144,144,48,48,0.00
248,96,96,96,148,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
204,104,104,104,152,56,56,0.00
208,100,100,100,156,52,52,0.00
252,96,96,96,152,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
196,96,96,96,144,48,48,0.00
